3,cavefloor,8,,,,,,,,,,,,,,,,,,,,,,,
*,*,*,*,*,a,a,a,a,a,a,*,*,*,*,*,*,*,*,*,*,*,a,m,%P;;1;12;cave2,m
*,*,*,*,a,,,,,,,a,a,a,a,*,*,*,*,a,a,a,m,,,m
*,*,*,a,,,,,,,,m,,,,a,a,a,a,m,,,,,,m
*,*,a,,m,,,m,,,,,,,,,m,m,,,,,,,,m
*,*,m,,,,,,,,,,,,,,,,,,,,,,,m
*,a,,,,,,,m,,,,,,,,,,,,,,,,m,*
*,m,,,,,m,m,,m,,,,,,,,,,,,,m,m,*,*
*,,,,,,*,*,*,,,m,,,m,,,,,m,m,,*,*,*,*
*,,,,,m,*,*,*,*,*,*,*,*,,m,,m,,*,*,*,*,*,*,*
*,,,,,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,,,,m,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,,,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
%P;[;3;8;cavemouth1,,,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
