3,cavefloor,8,,,,,,,,,,,,,,,,,,,,,,,
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,a,a,a,a
*,*,*,*,a,a,a,a,a,a,*,*,*,*,*,*,*,*,*,*,*,a,m,,,%P;;1;12;cave3
*,*,*,a,m,m,m,m,m,m,a,*,*,*,*,*,*,a,a,a,a,m,,,,*
*,*,a,m,m,,,,m,,m,a,*,*,*,*,a,,m,m,,,,m,m,*
*,*,m,m,m,%N;W;wisemanlledo;Wise Man Lledo,,,,,,m,a,*,a,a,m,,,,,,,,*,*
*,*,m,m,,,,,,,,m,m,a,,m,,,,,,,m,*,*,*
*,*,m,m,m,,,m,m,,,,,m,,,,,,,m,,,*,*,*
*,*,m,m,m,m,m,m,m,,,,,,,,,,,,m,*,*,*,*,*
*,*,*,m,m,m,m,m,,,,,,,,,,m,,*,*,*,*,*,*,*
*,*,*,m,m,m,,,,,,,,m,,,m,*,*,*,*,*,*,*,*,*
*,a,a,,,,,,,m,,,,*,*,*,*,*,*,*,*,*,*,*,*,*
a,,,,,,,m,,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
m,,,,,,m,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
m,%P;;24;1;cave1,m,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
