4,stone,7,,,,,,,,,,,,,,,,,,,,,,,
.,.,.,.,.,.,.,.,.,.,.,.,%P;;12;12;citycenter,%P;;13;12;citycenter,.,.,.,.,.,.,.,.,.,.,.,.
H,.,.,%M;H;locked,%M;;locked,%M;;locked,%M;H;locked,%M;;locked,%M;;locked,%M;H;locked,%M;;locked,%M;;locked,,,%M;H;locked,%M;;locked,%M;;locked,%M;H;locked,%M;;locked,%M;;locked,%P;H;12;10;cityhouse2,%P;;12;10;cityhouse2,%P;;12;10;cityhouse2,H,.,.
.,.,.,,,,,,,,,,,,,,,,,,,,,.,.,.
H,.,.,,,,,,,%V,,,,,,,,,,,%V,,,H,.,.
.,.,.,,,.,.,.,,.,.,.,,,.,.,.,,.,.,.,,,.,.,.
H,.,.,,,H,.,.,,H,.,.,,,H,.,.,,H,.,.,,,H,.,.
.,.,.,,,.,.,.,,.,.,.,,,.,.,.,,.,.,.,,,.,.,.
H,.,.,,,H,.,.,,H,.,.,,,H,.,.,,H,.,.,,,H,.,.
.,.,.,%V,,.,.,.,,.,.,.,,,.,.,.,,.,.,.,,,.,.,.
H,.,.,,,%M;H;locked,%M;;locked,%M;;locked,%V,%P;H;12;10;cityhouse1,%P;;12;10;cityhouse1,%P;;12;10;cityhouse1,,,%M;H;locked,%M;;locked,%M;;locked,,%M;H;locked,%M;;locked,%M;;locked,,,H,.,.
.,.,.,,,,,,,,,,,,,,,,,,,,,.,.,.
H,.,.,,,,,,,,,,,,,,,,,,,,,H,.,.
.,.,.,.,.,.,.,.,.,.,.,.,%G,%G,.,.,.,.,.,.,.,.,.,.,.,.
H,.,.,H,.,.,H,.,.,H,.,.,%P;;12;0;crossroads,%P;;13;0;crossroads,H,.,.,H,.,.,H,.,.,H,.,.
