3,cavefloor,8,,,,,,,,,,,,,,,,,,,,,,,
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,m,m,%P;;1;12;cave3,m
*,*,*,*,m,m,m,m,m,m,*,*,*,*,*,*,*,*,*,*,*,m,m,,,m
*,*,*,m,m,m,m,m,m,m,m,*,*,*,*,*,*,m,m,m,m,m,,,m,m
*,*,m,m,m,,,,m,m,m,m,*,*,*,*,m,m,m,m,,,,m,m,*
*,*,m,m,m,%N;W;wisemanlledo;Wise Man Lledo,,,,,m,m,m,*,m,m,m,,,,,,m,m,*,*
*,*,m,m,,,,,,,,m,m,m,m,m,,,,,,,m,*,*,*
*,*,m,m,m,,,m,m,,,,,m,,,,,,,m,m,m,*,*,*
*,*,m,m,m,m,m,m,m,m,,,,,,,,,m,m,m,*,*,*,*,*
*,*,*,m,m,m,m,m,,,,,,,,,m,m,m,*,*,*,*,*,*,*
*,*,*,m,m,m,,,,,,,m,m,m,m,m,*,*,*,*,*,*,*,*,*
*,m,m,m,,,,,,m,m,m,m,*,*,*,*,*,*,*,*,*,*,*,*,*
m,m,m,,,,,m,m,m,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
m,,,,,,m,m,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
m,%P;;24;1;cave1,m,m,m,m,m,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
