2,gravel,4,,,,,,,,,,,,,,,,,,,,,,,
K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K
K,T,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,T,K,K,K,K,K,K
K,K,K,K,K,K,T,K,K,K,K,K,K,K,K,K,K,K,T,K,K,K,T,T,K,K
%P;;25;3;mountain1,,,K,K,T,K,K,K,K,,,,,K,K,K,K,K,K,K,K,K,T,K,K
%P;;25;4;mountain1,,,,K,T,K,K,K,K,K,K,,,K,K,K,K,K,,K,K,K,K,K,K
K,K,,,K,K,K,K,,,,K,K,,,K,,,,,,K,K,K,K,K
K,K,K,,K,K,K,,,K,,,,,,,,,,,K,K,K,K,K,K
K,K,,,,,,,,,,,,K,,,,,K,,,,,K,K,K
K,K,,,,,,,,,,K,K,K,K,K,,,,,K,K,,,,K
K,K,K,K,,,K,K,K,,,,,,K,K,,,K,,K,K,,,,%P;;1;9;mountain3
K,K,K,,,,K,K,K,K,K,,K,K,K,K,K,K,K,,,,,K,,%P;;1;10;mountain3
K,K,K,,,,K,,,K,K,K,K,K,K,K,K,K,K,K,,,K,T,,K
K,K,K,K,K,,,,,,K,K,K,K,T,K,K,K,K,K,K,,,,,K
K,K,K,K,K,K,T,T,K,T,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K
